Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-12-29,45.7,46.18,45.6925,45.88,8293714.0,0.0,1.0,45.7,46.18,45.6925,45.88,8293714.0
2017-12-28,45.91,45.99,45.64,45.72,5642213.0,0.0,1.0,45.91,45.99,45.64,45.72,5642213.0
2017-12-27,45.9,45.94,45.715,45.93,5041455.0,0.0,1.0,45.9,45.94,45.715,45.93,5041455.0
2017-12-26,45.7,45.855,45.61,45.81,6043871.0,0.0,1.0,45.7,45.855,45.61,45.81,6043871.0
2017-12-22,45.64,45.73,45.55,45.59,5394639.0,0.0,1.0,45.64,45.73,45.55,45.59,5394639.0
2017-12-21,46.15,46.22,45.56,45.6,9391253.0,0.0,1.0,46.15,46.22,45.56,45.6,9391253.0
2017-12-20,46.18,46.3,45.955,46.08,7296074.0,0.0,1.0,46.18,46.3,45.955,46.08,7296074.0
2017-12-19,46.08,46.38,45.91,46.13,7727552.0,0.0,1.0,46.08,46.38,45.91,46.13,7727552.0
2017-12-18,46.23,46.38,45.91,45.93,10021802.0,0.0,1.0,46.23,46.38,45.91,45.93,10021802.0
2017-12-15,46.29,46.42,46.04,46.19,20161432.0,0.0,1.0,46.29,46.42,46.04,46.19,20161432.0
2017-12-14,45.9,46.17,45.8,46.03,8932016.0,0.0,1.0,45.9,46.17,45.8,46.03,8932016.0
2017-12-13,45.45,46.05,45.4,45.9,12212789.0,0.0,1.0,45.45,46.05,45.4,45.9,12212789.0
2017-12-12,45.25,45.52,45.06,45.29,13906775.0,0.0,1.0,45.25,45.52,45.06,45.29,13906775.0
2017-12-11,45.18,45.41,44.92,45.33,9593906.0,0.0,1.0,45.18,45.41,44.92,45.33,9593906.0
2017-12-08,45.7,45.73,45.05,45.31,13026731.0,0.0,1.0,45.7,45.73,45.05,45.31,13026731.0
2017-12-07,46.29,46.32,45.72,45.78,9064074.0,0.0,1.0,46.29,46.32,45.72,45.78,9064074.0
2017-12-06,46.33,46.48,46.2612,46.45,8137495.0,0.0,1.0,46.33,46.48,46.2612,46.45,8137495.0
2017-12-05,46.25,46.44,46.06,46.26,13452712.0,0.0,1.0,46.25,46.44,46.06,46.26,13452712.0
2017-12-04,45.99,46.378,45.77,46.23,17503101.0,0.0,1.0,45.99,46.378,45.77,46.23,17503101.0
2017-12-01,45.8,46.02,45.21,45.97,12467724.0,0.0,1.0,45.8,46.02,45.21,45.97,12467724.0
2017-11-30,45.14,45.84,45.03,45.77,16358425.0,0.0,1.0,45.14,45.84,45.03,45.77,16358425.0
2017-11-29,45.77,45.82,45.21,45.5,16435888.0,0.0,1.0,45.77,45.82,45.21,45.5,16435888.0
2017-11-28,45.99,46.15,45.78,45.83,8306301.0,0.0,1.0,45.99,46.15,45.78,45.83,8306301.0
2017-11-27,45.88,45.99,45.81,45.9,5629616.0,0.0,1.0,45.88,45.99,45.81,45.9,5629616.0
2017-11-24,45.89,46.045,45.86,45.88,2996338.0,0.0,1.0,45.89,46.045,45.86,45.88,2996338.0
2017-11-22,45.89,45.93,45.54,45.84,8121139.0,0.0,1.0,45.89,45.93,45.54,45.84,8121139.0
2017-11-21,45.56,45.95,45.54,45.78,10204728.0,0.0,1.0,45.56,45.95,45.54,45.78,10204728.0
2017-11-20,45.65,45.88,45.42,45.46,19146781.0,0.0,1.0,45.65,45.88,45.42,45.46,19146781.0
2017-11-17,46.34,46.38,45.25,45.71,19691311.0,0.0,1.0,46.34,46.38,45.25,45.71,19691311.0
2017-11-16,46.95,46.98,46.51,46.55,12495519.0,0.0,1.0,46.95,46.98,46.51,46.55,12495519.0
2017-11-15,47.32,47.46,46.78,46.81,12324043.0,0.0,1.0,47.32,47.46,46.78,46.81,12324043.0
2017-11-14,46.71,47.48,46.62,47.43,17169630.0,0.0,1.0,46.71,47.48,46.62,47.43,17169630.0
2017-11-13,46.6,46.815,46.54,46.72,7631352.0,0.0,1.0,46.6,46.815,46.54,46.72,7631352.0
